id,title,authors,year,venue,search_string,v1_decision,v1_reason
74,OzCHI '25: Proceedings of the 37th Australian Conference on Human-Computer Interaction,"Joel Fredericks, Soojeong Yoo, Tram Thi Minh Tran, + 11",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
75,ITiCSE 2024: Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 1,"Mattia Monga, Violetta Lonati, Erik Barendsen, Judithe Sheard, + 1",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
76,Concept-based Explainable Artificial Intelligence: A Survey,"Eleonora Poeta, Gabriele Ciravegna, Eliana Pastor, Tania Cerquitelli, Elena Baralis",2026,"ACM Computing Surveys (CSUR), Just Accepted https://doi.org/10.1145/3774643",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
77,SPLC-A '25: Proceedings of the 29th ACM International Systems and Software Product Line Conference - Volume A,"Miguel R. Luaces, Tirso V. Rodeiro, Sandra Greiner, + 16",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
78,RSP '23: Proceedings of the 34th International Workshop on Rapid System Prototyping,"13 Citation 2,107 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
79,ISEC '24: Proceedings of the 17th Innovations in Software Engineering Conference,"Sujit Kumar Chakrabarti, Aseem Rastogi, Sudipto Ghosh, + 4",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
80,GLSVLSI '24: Proceedings of the Great Lakes Symposium on VLSI 2024,"Inna Partin-Vaisband, Srinivas Katkoori, Lu Peng, + 2",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
81,Internetware '24: Proceedings of the 15th Asia-Pacific Symposium on Internetware,"Hong Mei, Jian Lv, Abdelsalam Helal, Xiaoxing Ma, + 3",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
82,DEIT '26: Proceedings of the 2026 2nd International Conference on Digital Education and Information Technology,"0 Citation 13,471 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
83,FPGA '25: Proceedings of the 2025 ACM/SIGDA International Symposium on Field Programmable Gate Arrays,"Andrew Putnam, Jing Li",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
