id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
95,A comprehensive framework for low-code data-centric process management,AN Eldin,2025,theses.hal.science,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
96,Generative AI in Agile Software Development: A Comprehensive Survey,"NV Malladi, S Reddy - 2025 7th International Conference on …, 2025",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
97,Implementation of Test Automation Using GitHub Copilot for the Software Quality Process in Financial Companies,"JE Paz-Diaz, P Valerio, W Ticona - Computer Science On-line Conference, 2025",2026,Springer,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
98,Large language models for software testing: A research roadmap,"C Augusto, A Bertolino, G De Angelis, F Lonetti… - arXiv preprint arXiv …, 2025",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
99,Integrating Model-Driven Engineering and Large Language Models for Test Scenario Generation for Smart Contracts,"I Al-Azzoni, S Iqbal, T Al Ashkar, Z Erum - Information, 2025",2026,mdpi.com,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
100,Personas for Model-based Testing,"B Budihala, J Michael, B Rumpe",2025,epub.uni-regensburg.de,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
101,Enhancing Legal Compliance and Regulation Analysis with Large Language Models,S Hassaniahari,2026,ruor.uottawa.ca,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
102,WaAgents: A Waterfall-Inspired Framework for Effective Multi-Agent Collaboration,"Z Cheng, YL Xiao, Q Huang, Z Zou, Z Xing, S Wang…",2026,openreview.net,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
103,GitHub Copilot for the Software Quality Process in Financial Companies,"JE Paz-Diaz¹, P Valerio¹, W Ticona - … : Emerging Trends and …, 2025",2026,books.google.com,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
104,Connecting Requirements Engineering to Agentic Development,"J Kawelke, T Niebisch - … Real-World Impact: From Structured Requirements …, 2026",2026,Springer,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
